SDGs認知度順位,都道府県名,スコア,施策認知度順位
1,東京都,76.4,22
2,神奈川県,72.8,15
3,埼玉県,65.5,27
4,千葉県,64.8,46
5,滋賀県,63.6,12
6,兵庫県,60.4,21
7,栃木県,60.1,16
8,和歌山県,59.9,24
9,茨城県,59.0,29
10,秋田県,58.5,35
11,群馬県,58.0,47
12,宮崎県,57.5,9
13,福島県,57.2,6
14,京都府,56.6,11
15,奈良県,55.7,41
16,熊本県,55.6,23
17,沖縄県,53.9,5
18,岡山県,53.1,3
19,大阪府,52.4,36
19,島根県,52.4,38
21,愛知県,51.9,34
22,福井県,49.7,1
22,広島県,49.7,19
24,長野県,48.7,7
25,富山県,48.4,7
26,徳島県,46.1,37
27,長崎県,46.0,4
28,石川県,45.9,28
29,静岡県,45.8,18
30,鳥取県,44.8,2
31,福岡県,44.6,14
32,三重県,42.9,16
33,山口県,42.6,26
34,新潟県,42.5,39
35,北海道,42.4,25
36,大分県,41.9,30
36,高知県,41.9,32
38,宮城県,41.6,33
39 ,愛媛県,41.0,10
40,山形県,39.6,44
41,香川県,38.2,43
42,岐阜県,37.9,40
42,岩手県,37.9,45
44,山梨県,37.4,31
45,佐賀県,36.9,20
46,青森県,36.1,13
47,鹿児島県,33.9,42
（出所：日経BP 総合研究所）,,,
