都道府県名,SDGs認知度スコア,SDGs施策認知度スコア
北海道,42.4,49.3
青森県,36.1,54.2
岩手県,37.9,35.8
宮城県,41.6,45.4
秋田県,58.5,43.2
山形県,39.6,35.9
福島県,57.2,63.0
茨城県,59.0,47.4
栃木県,60.1,52.5
群馬県,58.0,34.9
埼玉県,65.5,48.5
千葉県,64.8,35.3
東京都,76.4,50.2
神奈川県,72.8,53.0
新潟県,42.5,39.4
富山県,48.4,62.4
石川県,45.9,48.2
福井県,49.7,76.9
山梨県,37.4,46.2
長野県,48.7,62.4
岐阜県,37.9,38.0
静岡県,45.8,52.1
愛知県,51.9,44.6
三重県,42.9,52.5
滋賀県,63.6,54.6
京都府,56.6,54.7
大阪府,52.4,42.8
兵庫県,60.4,51.1
奈良県,55.7,37.6
和歌山県,59.9,49.7
鳥取県,44.8,71.4
島根県,52.4,39.5
岡山県,53.1,66.6
広島県,49.7,51.7
山口県,42.6,48.6
徳島県,46.1,42.1
香川県,38.2,36.9
愛媛県,41.0,55.7
高知県,41.9,45.7
福岡県,44.6,53.6
佐賀県,36.9,51.5
長崎県,46.0,65.6
熊本県,55.6,49.9
大分県,41.9,46.6
宮崎県,57.5,61.8
鹿児島県,33.9,37.1
沖縄県,53.9,63.4
